#Flux Density (Jy) (?)
#Name              R.A.         Dec.            16cm    4cm     15mm    7mm     3mm
0023-263        00:25:49        -26:02:13       6.644   3.271   1.014   0.496   0.189
0237-233        02:40:08        -23:09:16       5.157   2.598   1.043   0.579   0.232
0252-712        02:52:46        -71:04:35       4.001   1.494   0.334   0.119   -0.004
0407-658        04:08:20        -65:45:09       9.631   2.720   0.510   0.159   0.020
0624-058        06:27:10        -05:53:05       12.015  5.706   1.337   0.482   0.432
0637-752        06:35:47        -75:16:17       4.808   4.785   3.184   2.449   1.875
0723-008        07:25:51        -00:54:57       5.686   7.336   6.077   4.928   4.004
0741-063        07:44:22        -06:29:36       6.171   2.572   0.795   0.295   0.079
0823-500        08:25:27        -50:10:38       6.589   3.040   0.669   0.264   0.107
1005+077        10:08:00        +07:30:17       4.392   0.721   0.239   0.094   0.226
1127-145        11:30:07        -14:49:27       4.470   3.540   3.391   2.521   1.555
1151-348        11:54:22        -35:05:29       5.157   2.872   1.021   0.519   0.454
1226+023        12:29:07        +02:03:09       29.420  26.116  14.008  15.591  11.513
1245-197        12:48:24        -19:59:19       4.194   2.197   0.739   0.329   -0.
1253-055        12:56:11        -05:47:22       12.089  22.120  23.406  20.074  18.344
1322-427        13:25:28        -43:01:09       5.408   3.164   8.084   7.530   17.844
1421-490        14:24:32        -49:13:50       7.373   5.259   2.476   1.638   1.168
1424-418        14:27:56        -42:06:19       4.733   7.617   7.120   6.289   6.024
1549-790        15:56:59        -79:14:04       4.322   2.149   0.639   0.214   0.548
1613-586        16:17:18        -58:48:08       4.782   4.437   3.157   2.474   1.632
1718-649        17:23:41        -65:00:37       4.937   4.504   2.215   1.397   0.729
1722-55         17:26:50        -55:29:41       4.839   1.691   0.275   0.088   0.010
1730-130        17:33:03        -13:04:50       4.303   4.246   4.919   4.192   3.250
1740-517        17:44:25        -51:44:44       6.411   3.857   1.470   0.709   0.033
1814-637        18:19:35        -63:45:48       9.672   4.179   1.310   0.766   0.384
1819-096        18:22:29        -09:38:57       4.389   2.158   0.622   0.274   0.134
1827-360        18:30:59        -36:02:30       4.290   1.009   0.064   0.019   0.010
1830-210        18:33:40        -21:03:40       13.268  6.510   2.987   3.455   2.511
1921-293        19:24:51        -29:14:30       12.818  10.684  11.662  7.213   6.702
1934-638        19:39:25        -63:42:46       12.597  4.951   1.161   0.466   0.116
2134+004        21:36:39        +00:41:54       6.060   9.855   6.529   4.233   3.471
